JOB_TITLE,Years_Of_Service,Age,Gender,Race,ObjectID,CreationDate,Creator,EditDate,Editor
Police Officer,30,55,Male,White,70,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Investigation Tech,30,60,Female,Black/African American,71,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,58,Female,White,72,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,55,Female,Black/African American,73,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,54,Male,White,74,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,62,Male,White,75,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,57,Female,Black/African American,76,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,56,Male,White,77,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Telecommun Supv,30,54,Female,White,78,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,54,Male,White,79,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,54,Male,White,80,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,55,Female,Black/African American,81,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Support Technician,30,62,Female,White,82,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,31,59,Male,Black/African American,83,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,30,53,Male,White,84,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,51,Male,White,85,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,65,Male,Black/African American,86,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,53,Male,White,87,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,50,Male,White,88,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,52,Male,White,89,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,55,Male,White,90,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,52,Male,White,91,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Administrative Officer IV,29,52,Female,Black/African American,92,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,54,Male,Black/African American,93,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,55,Female,Hispanic/Latino,94,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,55,Male,White,95,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Office Assistant IV,29,57,Female,White,96,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,56,Male,White,97,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,0,53,Male,White,98,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,52,Male,White,99,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,50,Female,White,100,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,29,50,Male,White,101,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,28,51,Male,White,102,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,53,Male,White,103,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,52,Female,Black/African American,104,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Investigation Tech,21,52,Female,White,105,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,28,51,Male,White,106,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,50,Male,White,107,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,49,Male,White,108,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,28,49,Male,White,109,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,28,56,Male,Black/African American,110,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,54,Male,White,111,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,53,Female,White,112,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,52,Male,White,113,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,52,Male,White,114,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,51,Male,Black/African American,115,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,50,Male,White,116,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,50,Male,White,117,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,50,Male,Black/African American,118,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,53,Male,White,119,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,51,Male,White,120,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,51,Male,White,121,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Deputy Police Chief,28,51,Female,White,122,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,50,Male,White,123,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,49,Female,White,124,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,50,Male,White,125,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Major,28,50,Female,White,126,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,14,50,Male,White,127,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Investigation Tech,28,59,Female,Black/African American,128,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Major,28,53,Male,White,129,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,28,52,Female,White,130,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,52,Male,White,131,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,51,Male,White,132,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,28,50,Female,Black/African American,133,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,0,49,Male,White,134,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,49,Male,White,135,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,49,Male,White,136,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Administrative Officer II,28,47,Female,White,137,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Male,White,138,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,28,50,Male,White,139,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Male,Black/African American,140,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Male,White,141,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Male,White,142,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Male,Black/African American,143,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Bus Systems Spec Intrm,28,51,Male,White,144,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Male,White,145,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Senior Deputy Police Chief,28,0,Male,White,146,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Male,White,147,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,0,Female,White,148,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,50,Male,White,149,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Major,28,50,Male,Black/African American,150,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Captain,28,50,Female,White,151,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,28,49,Female,Black/African American,152,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,0,48,Male,White,153,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,0,51,Male,White,154,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Response Area Commander,0,52,Male,White,155,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,0,52,Male,White,156,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Major,0,50,Male,Black/African American,157,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Senior Deputy Police Chief,27,50,Female,Black/African American,158,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,0,49,Male,White,159,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,0,49,Male,White,160,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,0,49,Male,Not Specified,161,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,27,51,Male,White,162,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Response Area Commander,0,54,Male,White,163,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,53,Male,Black/African American,164,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,53,Female,White,165,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,27,53,Male,White,166,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,52,Male,White,167,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,27,51,Male,Black/African American,168,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,51,Male,White,169,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,27,51,Male,Black/African American,170,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,51,Male,White,171,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,50,Male,White,172,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Major,27,50,Male,White,173,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,48,Female,White,174,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,48,Male,White,175,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,27,48,Male,White,176,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,27,48,Male,White,177,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Telecommunicator,27,56,Female,White,178,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Contract Technician,27,59,Female,White,179,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Administrative Officer III,27,59,Female,Black/African American,180,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,47,Male,White,181,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Telecommunicator,26,55,Female,White,182,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Sergeant,26,53,Male,White,183,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Deputy Police Chief,26,51,Male,Black/African American,184,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,50,Male,White,185,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Major,26,49,Male,White,186,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,49,Male,White,187,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,26,48,Male,White,188,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,52,Male,White,189,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Response Area Commander,26,51,Male,White,190,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,50,Male,Black/African American,191,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,50,Male,White,192,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Chief,26,50,Male,Black/African American,193,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Captain,26,49,Female,Black/African American,194,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,49,Male,White,195,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Major,26,49,Male,White,196,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Lieutenant,26,49,Male,White,197,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,49,Male,Black/African American,198,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,47,Female,White,199,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Police Officer,26,47,Male,Black/African American,200,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
Animal Control Officer-Lead,27,62,Male,Black/African American,201,2019-03-16T09:01:57.891Z,CharlotteNC,2019-03-16T09:01:57.891Z,CharlotteNC
